heyjohn g of wi wants to know if you stand with big cable or support netneutrality,0.1
heywesley m of or sez netneutrality is the only way for a free market of internet services,0.2
heymeghan m of wa wants you to support netneutrality not big cable,0.1
net neutrality due to take effect in a few days if youre doubtful of negative impact do a search on netneutrality and seeold r results,-0.28500000000000003
free marketers dont shill for cable monopoliesmichele r of oh sez support netneutrality,0.4
heymatthew s of ca sez conservative voters support netneutrality why dont you,0.0
heykristina f of ny sez conservative voters support netneutrality why dont you,0.0
heysteve h of me sez free marketers dont shill for cable monopolies netneutrality,0.4
heymatt b of ca sez big cable gets billions in subsidies stand with the people netneutrality,0.0
heytrysten g of va sez netneutrality is the only way for a free market of internet services,0.2
free marketers dont shill for cable monopolieswilliam w of in sez support netneutrality,0.4
heykevin h of ny wants to know why you arent siding with millions on netneutrality,0.2
fast lanes hurt innovationpeter f of wi sez support netneutrality,0.2
heykarri s of ut sez free marketers dont shill for cable monopolies netneutrality,0.4
heyjudy b of ca sez conservative voters support netneutrality why dont you,0.0
heynjna b of ca sez conservative voters support netneutrality why dont you,0.0
"heyfrank t of 
 sez conservative voters support netneutrality why dont you",0.0
why netneutrality is not helping the internet,0.0
conservative voters support netneutralitymartin m of ct wants to know why you dont too,0.2
heylois w of az sez conservative voters support netneutrality why dont you,0.0
heyrex h of or sez big cable gets billions in subsidies stand with the people netneutrality,0.0
heyruben m of nm sez conservative voters support netneutrality why dont you,0.0
free marketers dont shill for cable monopolieskathleen o of fl sez support netneutrality,0.4
heytammy m of md sez big cable gets billions in subsidies stand with the people netneutrality,0.0
heyjoan l of al sez fast lanes hurt innovation support netneutrality,0.2
heyrobert w of wa sez strong netneutrality enables innovation,0.4333333333333333
heypatricia a of mo sez netneutrality should not be partisan its about innovation,0.0
jim p of ny sez side with the public on netneutralitynot big cable,0.0
do you stand with big cable or support netneutralitylou d of nj wants to know,0.1
whenampdoes itwe scream netneutrality whenampdoes it subtly we ignore,-0.3333333333333333
mina l of tx sez side with the public on netneutralitynot big cable,0.0
heyjimmy g of il sez netneutrality should not be partisan its about innovation,0.0
netneutrality rules are an affront to free speech giving the administration not u control of how u access info htt,0.4
heyrafael l of fl sez strong netneutrality enables innovation,0.4333333333333333
heylucinda s of il sez conservative voters support netneutrality why dont you,0.0
heymark h of ca sez netneutrality is the only way for a free market of internet services,0.2
heymarilyn w of ma wants to know why you arent siding with millions on netneutrality,0.2
heyvincent c of nd sez you should side with the public on netneutrality not big cable,0.0
fast lanes hurt innovationjim c of ga sez support netneutrality,0.2
do you stand with big cable or support netneutralitytaylor m of nm wants to know,0.1
heyleslie h of tx sez conservative voters support netneutrality why dont you,0.0
heykatherine g of md wants to know why you arent siding with millions on netneutrality,0.2
heysteve s of il sez big cable gets billions in subsidies stand with the people netneutrality,0.0
netneutralityviolation ofspottedspecial data caps for whatsapp and viber savetheinternet,0.0
michael b of fl sez side with the public on netneutralitynot big cable,0.0
heyronald l of ca wants you to support netneutrality not big cable,0.1
heymartha s of ny sez netneutrality is the only way for a free market of internet services,0.2
heysue s of wa sez strong netneutrality enables innovation,0.4333333333333333
heyjohn d of va sez fast lanes hurt innovation support netneutrality,0.2
heyjennifer g of tx sez free marketers dont shill for cable monopolies netneutrality,0.4
heynathan g of wa wants to know if you stand with big cable or support netneutrality,0.1
free marketers dont shill for cable monopoliesrichard c of in sez support netneutrality,0.4
continuing case for tech freedompermissionlessinnovation titleii netneutrality internetfreecom freeopeninternet,0.0
netneutrality rules are an affront to free speech giving the administration not u control of how u access info htt,0.4
heyteresa g of ca sez fast lanes hurt innovation support netneutrality,0.2
heyroberta s of ca sez fast lanes hurt innovation support netneutrality,0.2
do you stand with big cable or support netneutralitytim p of tx wants to know,0.1
william b of ok sez side with the public on netneutralitynot big cable,0.16666666666666666
heres why netneutrality is not helping the internet,0.0
heymike j of mn wants you to support netneutrality not big cable,0.1
heyrebekha s of az sez big cable gets billions in subsidies stand with the people netneutrality,0.0
heymimielle g of ca sez netneutrality is the only way for a free market of internet services,0.2
fast lanes hurt innovationtom m of pa sez support netneutrality,0.2
dearuser are you aware that your browsed webpages have javascript code inserted by ur isp,0.25
rebecca d of mn sez side with the public on netneutralitynot big cable,0.0
heylesofj wants to know why you arent siding with millions on netneutrality,0.2
heystephen a of md wants to know why you arent siding with millions on netneutrality,0.2
mark w of ma sez side with the public on netneutralitynot big cable,0.0
fast lanes hurt innovationkerry b of wa sez support netneutrality,0.2
heyvirginia k of ca sez strong netneutrality enables innovation,0.4333333333333333
heyvictoria a of pa wants to know why you arent siding with millions on netneutrality,0.2
bravo the stiff proactive balanced campaign for netneutrality may have something to do with it fortunefavoursbrave,-0.21428571428571427
free marketers dont shill for cable monopolieskarl c of in sez support netneutrality,0.4
conservative voters support netneutralityrobert b of nh wants to know why you dont too,0.2
heres why netneutrality is not helping the internet,0.0
heymichael m of ga sez netneutrality should not be partisan its about innovation,0.0
slap a lawsuit when someone exposes a glaring flaw typical of big corporates netneutrality,-0.08333333333333333
heymax c of wv sez fast lanes hurt innovation support netneutrality,0.2
heres why netneutrality is not helping the internet,0.0
heyk s of nj sez free marketers dont shill for cable monopolies netneutrality,0.4
heres why netneutrality is not helping the internet,0.0
copyright law as an intimidation tacticcopyright netneutrality,0.0
but still u wanna sell internet to few corporates house i support,-0.2
heytrai t of mn sez you should side with the public on netneutrality not big cable,0.0
heymarilynn b of md sez free marketers dont shill for cable monopolies netneutrality,0.4
conservative voters support netneutralityjennifer w of co wants to know why you dont too,0.2
sean g of ca wants you to support netneutralitynot big cable,0.1
heyspencer h of tx wants to know if you stand with big cable or support netneutrality,0.1
netneutralityopenlibreis outstories,0.0
heysarah s of ca sez free marketers dont shill for cable monopolies netneutrality,0.4
as a historic fcc vote on netneutrality draws near see who in congress is working to kill it change history,0.05
